OBJECTID,GIS_ID,Highway,FromPoint,ToPoint,MaxSpeed,Source,LastEditDate,SHAPESTLength
4903,46,Exeter Rd,Wharncliffe Road,A point 100 m west of White Oak Road,80,Traffic & Parking By-law PS-113 - Schedule 17 Higher Speed Limits,2021/01/04 20:35:04+00,2635.99914951256
4904,55,Fanshawe Park Rd E,1200 m east of Highbury Ave N,East end of Street,80,Traffic & Parking By-law PS-113 - Schedule 17 Higher Speed Limits,2021/01/04 20:35:05+00,2436.57262299013
4905,49,Fanshawe Park Rd W,West City Limit,Mallard Road,80,Traffic & Parking By-law PS-113 - Schedule 17 Higher Speed Limits,2021/01/04 20:35:05+00,1455.09764015898
4906,58,Gainsborough Rd,West City Limit,A point 730 m west of Prince of Wales Gate,80,Traffic & Parking By-law PS-113 - Schedule 17 Higher Speed Limits,2021/01/04 20:35:05+00,847.185595458294
4907,61,Gideon Dr,West City Limit,Oxford Street,80,Traffic & Parking By-law PS-113 - Schedule 17 Higher Speed Limits,2021/01/04 20:35:05+00,1871.49341685079
4908,64,Glanworth Dr,A point 350 m east of the C.N.R. (Glanworth),East City Limit,80,Traffic & Parking By-law PS-113 - Schedule 17 Higher Speed Limits,2021/01/04 20:35:05+00,6084.16944994969
4910,70,Harry White Dr,Wonderland Road,Wellington Road,80,Traffic & Parking By-law PS-113 - Schedule 17 Higher Speed Limits,2021/01/04 20:35:05+00,3087.76844727499
4912,76,Highbury Ave S,A point 600 m south of Bradley Ave,South City Limit,80,Traffic & Parking By-law PS-113 - Schedule 17 Higher Speed Limits,2021/01/04 20:35:06+00,10096.3695678189
4913,90,Kerr Rd,Brady Drive,Webber Bourne,80,Traffic & Parking By-law PS-113 - Schedule 17 Higher Speed Limits,2021/01/04 20:35:06+00,163.184653824715
4914,94,Littlewood Dr,West City Limit,Colonel Talbot Road,80,Traffic & Parking By-law PS-113 - Schedule 17 Higher Speed Limits,2021/01/04 20:35:06+00,1009.69457670352
4915,95,Longwoods Rd,West City Limit,A point 130 m west of Dingman Creek,80,Traffic & Parking By-law PS-113 - Schedule 17 Higher Speed Limits,2021/01/04 20:35:06+00,3793.15190776322
4916,97,Manning Dr,A point 700 m east of White Oak Road,Wellington Road,80,Traffic & Parking By-law PS-113 - Schedule 17 Higher Speed Limits,2021/01/04 20:35:06+00,2334.13434862351
4917,100,Morrison Rd,Wonderland Road,Scotland Drive,80,Traffic & Parking By-law PS-113 - Schedule 17 Higher Speed Limits,2021/01/04 20:35:06+00,1247.18918292584
4918,104,Old Victoria Rd,Wilton Grove Road,Westminster Drive,80,Traffic & Parking By-law PS-113 - Schedule 17 Higher Speed Limits,2021/01/04 20:35:06+00,2769.38962319037
4919,106,Old Victoria Rd,A point 700 m south of Westminster Dr,Willsie Road,80,Traffic & Parking By-law PS-113 - Schedule 17 Higher Speed Limits,2021/01/04 20:35:06+00,3781.34433352401
4920,107,Orr Dr,Thomas Lane,A point 1.5 km east of Colonel Talbot Road,80,Traffic & Parking By-law PS-113 - Schedule 17 Higher Speed Limits,2021/01/04 20:35:06+00,3521.68560306811
4921,108,Oxford St W,West City Limit ,A point 70 m west of Gideon Drive,80,Traffic & Parking By-law PS-113 - Schedule 17 Higher Speed Limits,2021/01/04 20:35:06+00,1592.17821670877
4922,114,Piper Dr,Westdel Bourne,Murray Road,80,Traffic & Parking By-law PS-113 - Schedule 17 Higher Speed Limits,2021/01/04 20:35:07+00,1169.11989282264
4923,117,Reagan Brne,Wellington Road,Bradish Road,80,Traffic & Parking By-law PS-113 - Schedule 17 Higher Speed Limits,2021/01/04 20:35:07+00,1306.92774461399
4924,118,Rebecca Rd,North City Limit,A point 100m north of Evelyn Drive,80,Schedule 24 - Rate of Speed (2024-04-02),2024/05/03 13:38:18+00,1133.53058385663
4926,124,Robin's Hill Rd,A point 1300 m east of Huron Street,East City Limits,80,Traffic & Parking By-law PS-113 - Schedule 17 Higher Speed Limits,2021/01/04 20:35:07+00,2892.72892580235
4927,128,Scotland Dr,Wonderland Road,East City Limit,80,Traffic & Parking By-law PS-113 - Schedule 17 Higher Speed Limits,2021/01/04 20:35:07+00,11771.9643165761
4928,129,Sharon Dr,West City Limit,Murray Road,80,Traffic & Parking By-law PS-113 - Schedule 17 Higher Speed Limits,2021/01/04 20:35:07+00,1779.97353082007
4929,135,Southminster Brne,West City Limit,East end of street,80,Traffic & Parking By-law PS-113 - Schedule 17 Higher Speed Limits,2024/05/03 17:19:56+00,4741.55761282102
4930,144,Sunningdale Rd E,A point 200m east of Highbury Ave,Clarke Rd,80,Schedule 24 - Rate of Speed (amended 2023-11-07),2024/05/03 17:19:56+00,2262.65721156448
4931,138,Sunningdale Rd W,200 m West of Hyde Park Rd,A point 150 m west of Denview Avenue,60,Traffic & Parking By-law PS-113 - Schedule 17 Higher Speed Limits,2021/08/27 13:36:35+00,1829.34976324348
4932,145,Tempo Rd,Colonel Talbot Road,Glanworth Drive,80,Traffic & Parking By-law PS-113 - Schedule 17 Higher Speed Limits,2021/01/04 20:35:08+00,1089.46026468668
4933,146,Thomas Lane,Orr Drive,Southminster Bourne,80,Traffic & Parking By-law PS-113 - Schedule 17 Higher Speed Limits,2021/01/04 20:35:08+00,620.443342771151
4934,147,Tote Rd,Gideon Drive,South end of street,40,"Schedule 25, formerly 80 km/h",2024/05/28 19:27:31+00,894.481045745987
