OBJECTID,GIS_ID,StreetName,StreetClassification,VolumeCount,TruckRoute,LastEditDate,ShapeSTLength
12597,95,Westminster Dr,Rural Connector,1000,24 hrs,2023/10/04 18:08:46+00,2389.98569335171
12598,96,Westminster Dr,Rural Connector,1000,24 hrs,2023/10/04 18:08:46+00,3021.45281632692
12599,97,Admiral Dr,Neighbourhood Street,1000,None,2023/10/04 18:08:46+00,13.656759265653
12600,98,Albert St,Neighbourhood Connector,1000,None,2023/10/04 18:08:46+00,133.649769204215
12601,99,Alomar Dr,Neighbourhood Street,1000,None,2023/10/04 18:08:46+00,191.788215413177
12602,100,Ambleside Dr,Neighbourhood Street,1000,None,2023/10/04 18:08:46+00,1343.34903947305
12603,101,Ann St,Neighbourhood Street,1000,None,2023/10/04 18:08:46+00,175.588207073995
12604,102,Argyle St,Neighbourhood Street,1000,None,2023/10/04 18:08:46+00,113.846018832193
12605,103,Ashland Ave,Neighbourhood Connector,1000,None,2023/10/04 18:08:46+00,252.503433222286
12606,104,Ashland Ave,Neighbourhood Connector,1000,None,2023/10/04 18:08:46+00,123.142603338568
12607,105,Askin St,Neighbourhood Street,1000,None,2023/10/04 18:08:46+00,644.915270881744
12608,106,Atkinson Blvd,Neighbourhood Connector,1000,None,2023/10/04 18:08:46+00,112.414357742417
12609,107,Birchwood Dr,Neighbourhood Street,1000,None,2023/10/04 18:08:46+00,236.486948969028
12610,108,Blackfriars St,Neighbourhood Connector,1000,None,2023/10/04 18:08:46+00,101.971249139786
12611,109,Blackfriars St,Neighbourhood Connector,1000,None,2023/10/04 18:08:46+00,74.7228339865399
12612,110,Blackfriars St,Neighbourhood Connector,1000,None,2023/10/04 18:08:46+00,176.568907501537
12613,111,Blackfriars St,Neighbourhood Connector,1000,None,2023/10/04 18:08:46+00,160.92978083627
12614,112,Blackmaple Dr,Neighbourhood Connector,1000,None,2023/10/04 18:08:46+00,645.911018187891
12615,113,Blackwater Rd,Neighbourhood Connector,1000,None,2023/10/04 18:08:46+00,685.359583807042
12616,114,Bow St,Neighbourhood Connector,1000,None,2023/10/04 18:08:46+00,780.766364087827
12617,115,Bradish Rd,Rural Connector,1000,None,2023/10/04 18:08:46+00,357.459308796758
12618,116,Bramblewood Pl,Neighbourhood Street,1000,None,2023/10/04 18:08:46+00,62.6974287004659
12619,117,Bramblewood St,Neighbourhood Street,1000,None,2023/10/04 18:08:46+00,306.98275463278
12620,118,Carfrae St,Neighbourhood Street,1000,None,2023/10/04 18:08:46+00,368.544520727677
12621,119,Cathcart St,Neighbourhood Street,1000,None,2023/10/04 18:08:46+00,151.941120495671
12622,120,Cavendish Cres,Neighbourhood Street,1000,None,2023/10/04 18:08:46+00,101.751349825051
12623,121,Chambers Ave,Neighbourhood Connector,1000,None,2023/10/04 18:08:46+00,339.628163691462
12624,122,Chambers Ave,Neighbourhood Connector,1000,None,2023/10/04 18:08:46+00,288.277593875739
12625,123,Chambers Ave,Neighbourhood Connector,1000,None,2023/10/04 18:08:46+00,254.983856537175
12626,124,Cheapside St,Neighbourhood Connector,1000,None,2023/10/04 18:08:46+00,186.964150274966
12627,125,City Yard Entry,Private Miscellaneous,1000,None,2023/10/04 18:08:46+00,192.752312419151
12628,126,Commissioners Rd E - Ramp,Ramps,1000,None,2023/10/04 18:08:46+00,300.609416917729
12629,127,Creston Ave,Neighbourhood Street,1000,None,2023/10/04 18:08:46+00,539.790870633769
12630,128,Creston Ave,Neighbourhood Street,1000,None,2023/10/04 18:08:46+00,279.234498140219
12631,129,Darnley Blvd,Neighbourhood Connector,1000,None,2023/10/04 18:08:46+00,512.466775115221
12632,130,Deer Park Cir,Neighbourhood Connector,1000,None,2023/10/04 18:08:46+00,418.141496932205
12633,131,Duchess Ave,Neighbourhood Street,1000,None,2023/10/04 18:08:46+00,330.287641364783
12634,132,Duchess Ave,Neighbourhood Street,1000,None,2023/10/04 18:08:46+00,277.472509321053
12635,133,Duchess Ave,Neighbourhood Street,1000,None,2023/10/04 18:08:46+00,239.501371194071
12636,134,Dundas St,Neighbourhood Connector,1000,None,2023/10/04 18:08:46+00,186.109516890593
12637,135,Edward St,Neighbourhood Street,1000,None,2023/10/04 18:08:46+00,151.771759538097
12638,136,Edward St,Neighbourhood Street,1000,None,2023/10/04 18:08:46+00,484.755856414007
12639,137,Edward St,Neighbourhood Street,1000,None,2023/10/04 18:08:46+00,567.860673122177
12640,138,Elizabeth St,Neighbourhood Street,1000,None,2023/10/04 18:08:46+00,146.003704032637
12641,139,Elviage Dr,Rural Connector,1000,None,2023/10/04 18:08:46+00,779.939355387915
12642,140,Empress Ave,Neighbourhood Street,1000,None,2023/10/04 18:08:46+00,227.024245080604
12643,141,Estevan Rd,Neighbourhood Street,1000,None,2023/10/04 18:08:46+00,361.401409622775
12644,142,Foster Ave,Neighbourhood Street,1000,None,2023/10/04 18:08:46+00,425.179341845322
12645,143,Green Valley Rd,Neighbourhood Connector,1000,None,2023/10/04 18:08:46+00,1713.40252359532
12646,144,Green Valley Rd,Neighbourhood Connector,1000,None,2023/10/04 18:08:46+00,737.125136727592
12647,145,Hartson Rd,Neighbourhood Connector,1000,None,2023/10/04 18:08:46+00,289.680880239574
12648,146,Hartson Rd,Neighbourhood Connector,1000,None,2023/10/04 18:08:46+00,770.31224342571
12649,147,Hastings Dr,Neighbourhood Connector,1000,None,2023/10/04 18:08:46+00,423.221474889964
12650,148,Hastings Dr,Neighbourhood Connector,1000,None,2023/10/04 18:08:46+00,462.209946323938
12651,149,Hastings Gate,Neighbourhood Connector,1000,None,2023/10/04 18:08:46+00,120.954471616621
12652,150,Hawthorne Rd,Neighbourhood Connector,1000,None,2023/10/04 18:08:46+00,746.627679352448
12653,151,Headley Dr,Neighbourhood Connector,1000,None,2023/10/04 18:08:46+00,154.494191173164
12654,152,Headley Gate,Neighbourhood Connector,1000,None,2023/10/04 18:08:46+00,74.786249840462
12655,153,Hickory Rd,Neighbourhood Connector,1000,None,2023/10/04 18:08:46+00,163.134260859383
12656,154,Hillcrest Ave,Neighbourhood Street,1000,None,2023/10/04 18:08:46+00,258.724414196361
12657,155,Hillcrest Ave,Neighbourhood Street,1000,None,2023/10/04 18:08:46+00,215.678935569904
12658,156,Hillside Dr,Neighbourhood Street,1000,None,2023/10/04 18:08:46+00,615.370791413721
12659,157,Hillside Dr,Neighbourhood Street,1000,None,2023/10/04 18:08:46+00,86.2439525359599
12660,158,Hillside Dr,Neighbourhood Street,1000,None,2023/10/04 18:08:46+00,201.171028315635
12661,159,Hillview Blvd,Neighbourhood Street,1000,None,2023/10/04 18:08:46+00,276.348904213851
12662,160,Homestead Cres,Neighbourhood Connector,1000,None,2023/10/04 18:08:46+00,110.21265034052
12663,161,Hunt Club Dr,Neighbourhood Connector,1000,None,2023/10/04 18:08:46+00,617.058544613405
12664,162,Hunt Club Dr,Neighbourhood Connector,1000,None,2023/10/04 18:08:46+00,1056.18629906813
12665,163,James St,Neighbourhood Connector,1000,None,2023/10/04 18:08:46+00,744.465986568637
12666,164,Jensen Rd,Neighbourhood Connector,1000,None,2023/10/04 18:08:46+00,410.351598054537
12667,165,Jensen Rd,Neighbourhood Connector,1000,None,2023/10/04 18:08:46+00,643.102586114604
12668,166,John St,Neighbourhood Street,1000,None,2023/10/04 18:08:46+00,179.20824708573
12669,167,John St,Neighbourhood Street,1000,None,2023/10/04 18:08:46+00,16.6354782377905
12670,168,John St,Neighbourhood Street,1000,None,2023/10/04 18:08:46+00,190.012976417138
12671,169,Laurel St,Neighbourhood Street,1000,None,2023/10/04 18:08:46+00,644.280400856915
12672,170,Longworth Rd,Neighbourhood Connector,1000,None,2023/10/04 18:08:46+00,734.965183796589
12673,171,Longworth Rd,Neighbourhood Street,1000,None,2023/10/04 18:08:46+00,248.754102901741
12674,172,Manchester Rd,Neighbourhood Connector,1000,None,2023/10/04 18:08:46+00,378.757755537019
12675,173,Manitoulin Dr,Neighbourhood Connector,1000,None,2023/10/04 18:08:46+00,264.630710016738
12676,174,Mcgarrell Dr,Neighbourhood Connector,1000,None,2023/10/04 18:08:46+00,840.113570357876
12677,175,Mcmaster Dr,Neighbourhood Connector,1000,None,2023/10/04 18:08:46+00,448.007395648501
12678,176,Mcnay St,Neighbourhood Connector,1000,None,2023/10/04 18:08:46+00,372.420553096408
12679,177,Mcnay St,Neighbourhood Connector,1000,None,2023/10/04 18:08:46+00,171.374129648702
12680,178,Meadowgate Blvd,Neighbourhood Connector,1000,None,2023/10/04 18:08:46+00,531.3408192071
